time,total_population,total_susceptible,total_latent,total_infectious,total_recovered,incidence,prevalence,0-14_S,0-14_E,0-14_I,0-14_R,15-44_S,15-44_E,15-44_I,15-44_R,45-64_S,45-64_E,45-64_I,45-64_R,65+_S,65+_E,65+_I,65+_R
0.0,1899.9239999999995,1888.3991782768574,11.022641723142327,0.49293000000000003,0.009250000000000001,42.35184385214304,25.9447219994063,497.8722224210526,2.0073815789473684,0.09889600000000001,0.0015,794.7577730864535,5.009234913546458,0.196992,0.004,396.829982872866,3.0034231271340057,0.147594,0.003,198.9391998964855,1.0026021035144943,0.049448000000000006,0.00075
0.0027397260273972603,1899.8480030399999,1888.2987179614986,11.044920637356746,0.48599793114462847,0.018366510000000003,42.43914277546903,25.58088491115971,497.84455723831456,2.0146501012095857,0.09781008047578948,0.00298338,794.7156954950691,5.018319977628223,0.1940461273027093,0.007939680000000001,396.8100249885364,3.0067869905982083,0.14523690086542682,0.00595176,198.92844023957855,1.0051635679207307,0.0489048225007029,0.00149169
0.005479452054794521,1899.7720091198782,1888.1986120587324,11.066843810451546,0.4792010912468439,0.027352159447610106,42.525081656363355,25.224136840970036,497.8170022734316,2.0218077677787116,0.09674194688567553,0.004450411871936842,794.6737643353888,5.027258112694071,0.19116110690708862,0.011820284958854187,396.7901252035578,3.0100927456994833,0.1429277107702033,0.008856259946908536,198.91772024635412,1.0076851842792804,0.048370326683876474,0.0022252026699105436
0.00821917808219178,1899.6960182395135,1888.0988537107069,11.088418171480086,0.47253683150819525,0.03620952581832132,42.609686957610414,24.87433920854899,497.7895553908284,2.0288567364267087,0.09569130955807072,0.005901363058747097,794.6319767737137,5.036052181848646,0.1883356899472094,0.015643034285597605,396.77028239691145,3.013341525078706,0.14066545799550834,0.011714459911914726,198.9070391492533,1.0101677281260246,0.04784437400740683,0.0029506685620618945
0.010958904109589041,1899.6200303987841,1887.9994361941847,11.109650513492834,0.46600255545689445,0.04494113564962511,42.692984623599905,24.53135616595216,497.7622144968596,2.035799122563125,0.09465788360960267,0.007336496647595808,794.5903300319779,5.044704991989873,0.18556865315703705,0.01940912236317037,396.7504954695684,3.016534439159824,0.1384491905222941,0.014527300493428416,198.8963961957786,1.0126119597800127,0.04732682816796063,0.003668216145430514
0.0136986301369863,1899.544045597568,1887.9003529178722,11.130547496234257,0.45959571790712467,0.0535494655544492,42.77500009058706,24.195054543341364,497.7349775389779,2.042637000075575,0.09364138886462688,0.008756071441873944,794.5488213866449,5.053219294923582,0.182858798346168,0.023119719061416584,396.73076334405414,3.01967257658995,0.1362779756320593,0.01729570321185456,198.8857906481953,1.0150186246451514,0.04681755506427051,0.004377971839304107
0.01643835616438356,1899.468063835744,1887.801597419805,11.151115648785682,0.45331382393915726,0.06203694321432503,42.85575829674744,23.86530379582931,497.7078425049185,2.0493724021533675,0.092641549776118,0.010160342031985672,794.5074481676264,5.061597788455814,0.1802049518862955,0.026775970239577486,396.71108496402127,3.022757004670651,0.1341508995157108,0.020020570896367273,198.87522178323874,1.01738845350585,0.04631642276103291,0.005080060046394592
0.019178082191780823,1899.3920851131907,1887.7031633647828,11.171361372155236,0.4471544278998594,0.07040594835269384,42.93528369203106,23.5419759513851,497.68080742190057,2.0560073220946187,0.09165809534791587,0.011549558864946163,794.4662077572231,5.069843117463252,0.1776059642081853,0.030378998238493812,396.6914592938316,3.025788769780621,0.13206706689035008,0.022702788063845635,198.86468889182768,1.0197221628167457,0.04582330145340815,0.00577460318540823
0.021917808219178082,1899.316109429786,1887.6050445418582,11.191290941815936,0.4411151324231839,0.0786588136887503,43.01360024781936,23.224945559779187,497.6538703558438,2.0625437140971914,0.09069075905830214,0.012923968312810303,794.4250975890856,5.077957874942215,0.17506070930894593,0.03392990236272798,396.6718853181458,3.028768897789902,0.1300256006238236,0.025343221290130082,198.85419127878305,1.0220204549866274,0.04533806343211224,0.0064617217230819365
0.024657534246575342,1899.2401367854086,1887.5072348618733,11.210910510192958,0.43519358747023856,0.08679782587221435,43.090731466389336,22.914089642546884,497.6270294106016,2.068983494033785,0.0897392787848847,0.014283812739952323,794.3841151471976,5.085944603036669,0.1725680842693831,0.03742975935281238,396.6523620415217,3.0316983944658284,0.12802564136688016,0.027942719573754948,198.84372826255264,1.0242840186566757,0.044860583049090595,0.007141534205694697
0.0273972602739726,1899.1641671799375,1887.4097283550484,11.230226109101153,0.42938748938854343,0.09482522639941435,43.166700390188595,22.609287643950207,497.6002827272089,2.075328540211498,0.0888033967307668,0.015629330569215994,794.3432579648779,5.093805794045655,0.170127008781232,0.04087962384782593,396.63288848802034,3.034578245870864,0.12606634719278104,0.030502114692309602,198.8332991749412,1.026513528973136,0.04439073668376361,0.007814157290062828
0.030136986301369864,1899.0882006132504,1887.3125191686154,11.249243652133773,0.42369457999008997,0.1027432125110566,43.24152961092521,22.31042138291793,497.57362848314546,2.0815806941161816,0.08788285935197837,0.01696075634695473,794.3025236238038,5.101543891410568,0.16773642468406524,0.04428052883849666,396.6134637008202,3.0374094187524885,0.12414689324421188,0.03302222155157753,198.82290336084586,1.0287096478545343,0.04392840270983443,0.00847970577402768
0.03287671232876712,1899.012237085226,1887.2156015645025,11.26796893700343,0.41811264564782435,0.1105539380720489,43.315241278476,22.017375005944203,497.54706489161384,2.087741761141886,0.08697741728614786,0.018278320806980528,794.2619097530528,5.109161290682692,0.1653952955116787,0.04763348611102443,396.59408674183885,3.040192860925302,0.12226647138734838,0.0355038385275997,198.8125401779969,1.03087302425355,0.04347346146264943,0.009138292626444234
